name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
baseline-daic-woz-modalities+class-weights:audio-2,2,0.4745762711864407,1.0,0.3111111111111111,0.38095238095238093,0.3404255319148936,0.22160630570295195,daic-woz,test,baseline,7,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,8,32,last
baseline-daic-woz-modalities+class-weights:audio-2,2,0.4,0.6428571428571429,0.2903225806451613,0.4956709956709957,0.425531914893617,0.43438992618323924,daic-woz,test,baseline,7,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,8,32,mean
baseline-daic-woz-modalities+class-weights:audio-2,2,0.4090909090909091,0.6428571428571429,0.3,0.4956709956709957,0.44680851063829785,0.45887814313346237,daic-woz,test,baseline,7,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,8,32,mode
baseline-daic-woz-modalities+class-weights:audio-2,2,0.40816326530612246,0.7142857142857143,0.2857142857142857,0.5151515151515151,0.3829787234042553,0.371225937183384,daic-woz,test,baseline,7,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,8,32,threshold
baseline-daic-woz-modalities+class-weights:audio-2,2,0.4166666666666667,0.7142857142857143,0.29411764705882354,0.5151515151515151,0.40425531914893614,0.398859081097749,daic-woz,test,baseline,7,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,8,32,mode_threshold
baseline-daic-woz-modalities+class-weights:audio-2,2,0.4745762711864407,1.0,0.3111111111111111,0.38095238095238093,0.3404255319148936,0.22160630570295195,daic-woz,test,baseline,7,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,8,32,last_presence
baseline-daic-woz-modalities+class-weights:audio-2,2,0.4,0.6428571428571429,0.2903225806451613,0.4956709956709957,0.425531914893617,0.43438992618323924,daic-woz,test,baseline,7,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,8,32,mean_presence
baseline-daic-woz-modalities+class-weights:audio-2,2,0.4090909090909091,0.6428571428571429,0.3,0.4956709956709957,0.44680851063829785,0.45887814313346237,daic-woz,test,baseline,7,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,8,32,mode_presence
baseline-daic-woz-modalities+class-weights:audio-2,2,0.40816326530612246,0.7142857142857143,0.2857142857142857,0.5151515151515151,0.3829787234042553,0.371225937183384,daic-woz,test,baseline,7,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,8,32,threshold_presence
baseline-daic-woz-modalities+class-weights:audio-2,2,0.4166666666666667,0.7142857142857143,0.29411764705882354,0.5151515151515151,0.40425531914893614,0.398859081097749,daic-woz,test,baseline,7,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,8,32,mode_threshold_presence
