name,run_id,f1,recall,precision,auc,accuracy,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
baseline-e-daic-woz-modalities+class-weights:audiovisual-run-1,1,0.3243243243243243,0.35294117647058826,0.3,0.4871794871794872,0.5535714285714286,e-daic-woz,test,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,last
baseline-e-daic-woz-modalities+class-weights:audiovisual-run-1,1,0.14285714285714285,0.11764705882352941,0.18181818181818182,0.5173453996983408,0.5714285714285714,e-daic-woz,test,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,mean
baseline-e-daic-woz-modalities+class-weights:audiovisual-run-1,1,0.14814814814814817,0.11764705882352941,0.2,0.5173453996983408,0.5892857142857143,e-daic-woz,test,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,mode
baseline-e-daic-woz-modalities+class-weights:audiovisual-run-1,1,0.14285714285714285,0.11764705882352941,0.18181818181818182,0.4962292609351433,0.5714285714285714,e-daic-woz,test,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,threshold
baseline-e-daic-woz-modalities+class-weights:audiovisual-run-1,1,0.14285714285714285,0.11764705882352941,0.18181818181818182,0.4962292609351433,0.5714285714285714,e-daic-woz,test,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,mode_threshold
baseline-e-daic-woz-modalities+class-weights:audiovisual-run-1,1,0.3243243243243243,0.35294117647058826,0.3,0.4871794871794872,0.5535714285714286,e-daic-woz,test,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,last_presence
baseline-e-daic-woz-modalities+class-weights:audiovisual-run-1,1,0.14285714285714285,0.11764705882352941,0.18181818181818182,0.5173453996983408,0.5714285714285714,e-daic-woz,test,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,mean_presence
baseline-e-daic-woz-modalities+class-weights:audiovisual-run-1,1,0.14814814814814817,0.11764705882352941,0.2,0.5173453996983408,0.5892857142857143,e-daic-woz,test,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,mode_presence
baseline-e-daic-woz-modalities+class-weights:audiovisual-run-1,1,0.14285714285714285,0.11764705882352941,0.18181818181818182,0.4962292609351433,0.5714285714285714,e-daic-woz,test,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,threshold_presence
baseline-e-daic-woz-modalities+class-weights:audiovisual-run-1,1,0.14285714285714285,0.11764705882352941,0.18181818181818182,0.4962292609351433,0.5714285714285714,e-daic-woz,test,baseline,6,0.25,"['edaic_audio_mfcc', 'edaic_audio_egemaps', 'edaic_video_cnn_resnet', 'edaic_video_pose_gaze_aus']",8,8,32,mode_threshold_presence
