name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,prediction_kind
baseline-original-dvlog-new-split:av-run-3,3,0.6533864541832669,0.7961165048543689,0.5540540540540541,0.5983291939489728,0.5396825396825397,0.4993937510799198,original-d-vlog-new-split,test,baseline,9,0.25,"['orig_face_landmarks', 'orig_audio_descriptors']",last
baseline-original-dvlog-new-split:av-run-3,3,0.7136929460580913,0.8349514563106796,0.6231884057971014,0.7247685707834726,0.6349206349206349,0.6147963218563214,original-d-vlog-new-split,test,baseline,9,0.25,"['orig_face_landmarks', 'orig_audio_descriptors']",mean
baseline-original-dvlog-new-split:av-run-3,3,0.721311475409836,0.8543689320388349,0.624113475177305,0.7247685707834726,0.6402116402116402,0.6172131794837936,original-d-vlog-new-split,test,baseline,9,0.25,"['orig_face_landmarks', 'orig_audio_descriptors']",mode
baseline-original-dvlog-new-split:av-run-3,3,0.7166666666666667,0.8349514563106796,0.6277372262773723,0.7223978324678256,0.6402116402116402,0.6213748945633003,original-d-vlog-new-split,test,baseline,9,0.25,"['orig_face_landmarks', 'orig_audio_descriptors']",threshold
baseline-original-dvlog-new-split:av-run-3,3,0.7107438016528925,0.8349514563106796,0.6187050359712231,0.7223978324678256,0.6296296296296297,0.6081582311528836,original-d-vlog-new-split,test,baseline,9,0.25,"['orig_face_landmarks', 'orig_audio_descriptors']",mode_threshold
baseline-original-dvlog-new-split:av-run-3,3,0.6533864541832669,0.7961165048543689,0.5540540540540541,0.5983291939489728,0.5396825396825397,0.4993937510799198,original-d-vlog-new-split,test,baseline,9,0.25,"['orig_face_landmarks', 'orig_audio_descriptors']",last_presence
baseline-original-dvlog-new-split:av-run-3,3,0.7136929460580913,0.8349514563106796,0.6231884057971014,0.7247685707834726,0.6349206349206349,0.6147963218563214,original-d-vlog-new-split,test,baseline,9,0.25,"['orig_face_landmarks', 'orig_audio_descriptors']",mean_presence
baseline-original-dvlog-new-split:av-run-3,3,0.721311475409836,0.8543689320388349,0.624113475177305,0.7247685707834726,0.6402116402116402,0.6172131794837936,original-d-vlog-new-split,test,baseline,9,0.25,"['orig_face_landmarks', 'orig_audio_descriptors']",mode_presence
baseline-original-dvlog-new-split:av-run-3,3,0.7166666666666667,0.8349514563106796,0.6277372262773723,0.7223978324678256,0.6402116402116402,0.6213748945633003,original-d-vlog-new-split,test,baseline,9,0.25,"['orig_face_landmarks', 'orig_audio_descriptors']",threshold_presence
baseline-original-dvlog-new-split:av-run-3,3,0.7107438016528925,0.8349514563106796,0.6187050359712231,0.7223978324678256,0.6296296296296297,0.6081582311528836,original-d-vlog-new-split,test,baseline,9,0.25,"['orig_face_landmarks', 'orig_audio_descriptors']",mode_threshold_presence
