name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-3,3,0.24242424242424246,0.3333333333333333,0.19047619047619047,0.33695652173913043,0.2857142857142857,0.2962442962442962,daic-woz,validation,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,last
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-3,3,0.4878048780487806,0.8333333333333334,0.3448275862068966,0.4565217391304348,0.4,0.34852817493692184,daic-woz,validation,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mean
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-3,3,0.5,0.8333333333333334,0.35714285714285715,0.4565217391304348,0.42857142857142855,0.3904761904761905,daic-woz,validation,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mode
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-3,3,0.46153846153846156,0.75,0.3333333333333333,0.44565217391304346,0.4,0.37022332506203476,daic-woz,validation,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,threshold
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-3,3,0.4736842105263157,0.75,0.34615384615384615,0.44565217391304346,0.42857142857142855,0.40883458646616544,daic-woz,validation,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mode_threshold
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-3,3,0.24242424242424246,0.3333333333333333,0.19047619047619047,0.33695652173913043,0.2857142857142857,0.2962442962442962,daic-woz,validation,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,last_presence
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-3,3,0.4878048780487806,0.8333333333333334,0.3448275862068966,0.4565217391304348,0.4,0.34852817493692184,daic-woz,validation,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mean_presence
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-3,3,0.5,0.8333333333333334,0.35714285714285715,0.4565217391304348,0.42857142857142855,0.3904761904761905,daic-woz,validation,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mode_presence
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-3,3,0.46153846153846156,0.75,0.3333333333333333,0.44565217391304346,0.4,0.37022332506203476,daic-woz,validation,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,threshold_presence
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-3,3,0.4736842105263157,0.75,0.34615384615384615,0.44565217391304346,0.42857142857142855,0.40883458646616544,daic-woz,validation,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mode_threshold_presence
