name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-4,4,0.08695652173913043,0.07142857142857142,0.1111111111111111,0.4264069264069264,0.5531914893617021,0.5203580409375773,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,last
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-4,4,0.3243243243243243,0.42857142857142855,0.2608695652173913,0.49134199134199136,0.46808510638297873,0.4907841772343452,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mean
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-4,4,0.33333333333333326,0.42857142857142855,0.2727272727272727,0.49134199134199136,0.48936170212765956,0.5108828564441183,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mode
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-4,4,0.3333333333333333,0.5,0.25,0.4632034632034632,0.40425531914893614,0.42334969994544464,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,threshold
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-4,4,0.30769230769230765,0.42857142857142855,0.24,0.4632034632034632,0.425531914893617,0.4490998363338789,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mode_threshold
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-4,4,0.08695652173913043,0.07142857142857142,0.1111111111111111,0.4264069264069264,0.5531914893617021,0.5203580409375773,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,last_presence
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-4,4,0.3243243243243243,0.42857142857142855,0.2608695652173913,0.49134199134199136,0.46808510638297873,0.4907841772343452,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mean_presence
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-4,4,0.33333333333333326,0.42857142857142855,0.2727272727272727,0.49134199134199136,0.48936170212765956,0.5108828564441183,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mode_presence
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-4,4,0.3333333333333333,0.5,0.25,0.4632034632034632,0.40425531914893614,0.42334969994544464,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,threshold_presence
hope-baseline-daic-woz-modalities-reduced-arch:audio-run-4,4,0.30769230769230765,0.42857142857142855,0.24,0.4632034632034632,0.425531914893617,0.4490998363338789,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant']",8,4,64,mode_threshold_presence
