name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
hope-baseline-daic-woz-modalities-reduced-arch:audiovisual-run-5,5,0.30769230769230765,0.2857142857142857,0.3333333333333333,0.5367965367965368,0.6170212765957447,0.6079233657456435,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,last
hope-baseline-daic-woz-modalities-reduced-arch:audiovisual-run-5,5,0.47058823529411764,0.5714285714285714,0.4,0.5909090909090909,0.6170212765957447,0.6316645807259074,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mean
hope-baseline-daic-woz-modalities-reduced-arch:audiovisual-run-5,5,0.4242424242424242,0.5,0.3684210526315789,0.5909090909090909,0.5957446808510638,0.6098022428681654,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mode
hope-baseline-daic-woz-modalities-reduced-arch:audiovisual-run-5,5,0.47058823529411764,0.5714285714285714,0.4,0.5909090909090909,0.6170212765957447,0.6316645807259074,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,threshold
hope-baseline-daic-woz-modalities-reduced-arch:audiovisual-run-5,5,0.4242424242424242,0.5,0.3684210526315789,0.5909090909090909,0.5957446808510638,0.6098022428681654,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mode_threshold
hope-baseline-daic-woz-modalities-reduced-arch:audiovisual-run-5,5,0.30769230769230765,0.2857142857142857,0.3333333333333333,0.5367965367965368,0.6170212765957447,0.6079233657456435,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,last_presence
hope-baseline-daic-woz-modalities-reduced-arch:audiovisual-run-5,5,0.47058823529411764,0.5714285714285714,0.4,0.5909090909090909,0.6170212765957447,0.6316645807259074,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mean_presence
hope-baseline-daic-woz-modalities-reduced-arch:audiovisual-run-5,5,0.4242424242424242,0.5,0.3684210526315789,0.5909090909090909,0.5957446808510638,0.6098022428681654,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mode_presence
hope-baseline-daic-woz-modalities-reduced-arch:audiovisual-run-5,5,0.47058823529411764,0.5714285714285714,0.4,0.5909090909090909,0.6170212765957447,0.6316645807259074,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,threshold_presence
hope-baseline-daic-woz-modalities-reduced-arch:audiovisual-run-5,5,0.4242424242424242,0.5,0.3684210526315789,0.5909090909090909,0.5957446808510638,0.6098022428681654,daic-woz,test,baseline,6,0.25,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mode_threshold_presence
