name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
hope-baseline-daic-woz-modalities-reduced-arch:video-run-1,1,0.45454545454545453,0.4166666666666667,0.5,0.6340579710144927,0.6571428571428571,0.6487012987012986,daic-woz,validation,baseline,6,0.25,"['daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,last
hope-baseline-daic-woz-modalities-reduced-arch:video-run-1,1,0.5217391304347826,0.5,0.5454545454545454,0.6195652173913043,0.6857142857142857,0.6822254526232325,daic-woz,validation,baseline,6,0.25,"['daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mean
hope-baseline-daic-woz-modalities-reduced-arch:video-run-1,1,0.5217391304347826,0.5,0.5454545454545454,0.6195652173913043,0.6857142857142857,0.6822254526232325,daic-woz,validation,baseline,6,0.25,"['daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mode
hope-baseline-daic-woz-modalities-reduced-arch:video-run-1,1,0.5217391304347826,0.5,0.5454545454545454,0.6231884057971014,0.6857142857142857,0.6822254526232325,daic-woz,validation,baseline,6,0.25,"['daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,threshold
hope-baseline-daic-woz-modalities-reduced-arch:video-run-1,1,0.5217391304347826,0.5,0.5454545454545454,0.6231884057971014,0.6857142857142857,0.6822254526232325,daic-woz,validation,baseline,6,0.25,"['daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mode_threshold
hope-baseline-daic-woz-modalities-reduced-arch:video-run-1,1,0.45454545454545453,0.4166666666666667,0.5,0.6340579710144927,0.6571428571428571,0.6487012987012986,daic-woz,validation,baseline,6,0.25,"['daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,last_presence
hope-baseline-daic-woz-modalities-reduced-arch:video-run-1,1,0.5217391304347826,0.5,0.5454545454545454,0.6195652173913043,0.6857142857142857,0.6822254526232325,daic-woz,validation,baseline,6,0.25,"['daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mean_presence
hope-baseline-daic-woz-modalities-reduced-arch:video-run-1,1,0.5217391304347826,0.5,0.5454545454545454,0.6195652173913043,0.6857142857142857,0.6822254526232325,daic-woz,validation,baseline,6,0.25,"['daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mode_presence
hope-baseline-daic-woz-modalities-reduced-arch:video-run-1,1,0.5217391304347826,0.5,0.5454545454545454,0.6231884057971014,0.6857142857142857,0.6822254526232325,daic-woz,validation,baseline,6,0.25,"['daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,threshold_presence
hope-baseline-daic-woz-modalities-reduced-arch:video-run-1,1,0.5217391304347826,0.5,0.5454545454545454,0.6231884057971014,0.6857142857142857,0.6822254526232325,daic-woz,validation,baseline,6,0.25,"['daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",8,4,64,mode_threshold_presence
