name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,prediction_kind
perceiver-ablation-modalities:av+lm+eyes-run-2,2,0.6990291262135923,0.7346938775510204,0.6666666666666666,0.7410430839002267,0.6702127659574468,0.6685176859423795,d-vlog,validation,perceiver,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",last
perceiver-ablation-modalities:av+lm+eyes-run-2,2,0.7200000000000001,0.7346938775510204,0.7058823529411765,0.7492063492063493,0.7021276595744681,0.7017214700193424,d-vlog,validation,perceiver,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",mean
perceiver-ablation-modalities:av+lm+eyes-run-2,2,0.7200000000000001,0.7346938775510204,0.7058823529411765,0.7492063492063493,0.7021276595744681,0.7017214700193424,d-vlog,validation,perceiver,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",mode
perceiver-ablation-modalities:av+lm+eyes-run-2,2,0.7000000000000001,0.7142857142857143,0.6862745098039216,0.7505668934240364,0.6808510638297872,0.6804158607350097,d-vlog,validation,perceiver,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",threshold
perceiver-ablation-modalities:av+lm+eyes-run-2,2,0.7000000000000001,0.7142857142857143,0.6862745098039216,0.7505668934240364,0.6808510638297872,0.6804158607350097,d-vlog,validation,perceiver,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",mode_threshold
perceiver-ablation-modalities:av+lm+eyes-run-2,2,0.6990291262135923,0.7346938775510204,0.6666666666666666,0.7410430839002267,0.6702127659574468,0.6685176859423795,d-vlog,validation,perceiver,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",last_presence
perceiver-ablation-modalities:av+lm+eyes-run-2,2,0.7128712871287128,0.7346938775510204,0.6923076923076923,0.7482993197278912,0.6914893617021277,0.6907520539287971,d-vlog,validation,perceiver,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",mean_presence
perceiver-ablation-modalities:av+lm+eyes-run-2,2,0.7200000000000001,0.7346938775510204,0.7058823529411765,0.7482993197278912,0.7021276595744681,0.7017214700193424,d-vlog,validation,perceiver,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",mode_presence
perceiver-ablation-modalities:av+lm+eyes-run-2,2,0.6930693069306932,0.7142857142857143,0.6730769230769231,0.7501133786848072,0.6702127659574468,0.6694246093721626,d-vlog,validation,perceiver,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",threshold_presence
perceiver-ablation-modalities:av+lm+eyes-run-2,2,0.7000000000000001,0.7142857142857143,0.6862745098039216,0.7501133786848072,0.6808510638297872,0.6804158607350097,d-vlog,validation,perceiver,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",mode_threshold_presence
