name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,prediction_kind
perceiver-daicwoz-ablation-modalities:audiovisual-run-1,1,0.5283018867924528,1.0,0.358974358974359,0.6212121212121211,0.46808510638297873,0.4313675573528116,daic-woz,test,perceiver,6,0.5,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",last
perceiver-daicwoz-ablation-modalities:audiovisual-run-1,1,0.5283018867924528,1.0,0.358974358974359,0.6471861471861472,0.46808510638297873,0.4313675573528116,daic-woz,test,perceiver,6,0.5,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",mean
perceiver-daicwoz-ablation-modalities:audiovisual-run-1,1,0.5384615384615384,1.0,0.3684210526315789,0.6471861471861472,0.48936170212765956,0.46130465279401445,daic-woz,test,perceiver,6,0.5,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",mode
perceiver-daicwoz-ablation-modalities:audiovisual-run-1,1,0.5283018867924528,1.0,0.358974358974359,0.6471861471861472,0.46808510638297873,0.4313675573528116,daic-woz,test,perceiver,6,0.5,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",threshold
perceiver-daicwoz-ablation-modalities:audiovisual-run-1,1,0.5384615384615384,1.0,0.3684210526315789,0.6471861471861472,0.48936170212765956,0.46130465279401445,daic-woz,test,perceiver,6,0.5,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",mode_threshold
perceiver-daicwoz-ablation-modalities:audiovisual-run-1,1,0.5283018867924528,1.0,0.358974358974359,0.6212121212121211,0.46808510638297873,0.4313675573528116,daic-woz,test,perceiver,6,0.5,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",last_presence
perceiver-daicwoz-ablation-modalities:audiovisual-run-1,1,0.5283018867924528,1.0,0.358974358974359,0.6471861471861472,0.46808510638297873,0.4313675573528116,daic-woz,test,perceiver,6,0.5,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",mean_presence
perceiver-daicwoz-ablation-modalities:audiovisual-run-1,1,0.5384615384615384,1.0,0.3684210526315789,0.6471861471861472,0.48936170212765956,0.46130465279401445,daic-woz,test,perceiver,6,0.5,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",mode_presence
perceiver-daicwoz-ablation-modalities:audiovisual-run-1,1,0.5283018867924528,1.0,0.358974358974359,0.6471861471861472,0.46808510638297873,0.4313675573528116,daic-woz,test,perceiver,6,0.5,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",threshold_presence
perceiver-daicwoz-ablation-modalities:audiovisual-run-1,1,0.5384615384615384,1.0,0.3684210526315789,0.6471861471861472,0.48936170212765956,0.46130465279401445,daic-woz,test,perceiver,6,0.5,"['daic_audio_covarep', 'daic_audio_formant', 'daic_facial_3d_landmarks', 'daic_facial_hog', 'daic_facial_aus', 'daic_gaze', 'daic_head_pose']",mode_threshold_presence
