name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
dvlog-baseline-ablation-modalities-final:av-lm-eyes-spw-9-pt-0.50-run-2,2,0.6726457399103138,0.7281553398058253,0.625,0.6171822081734025,0.6137566137566137,0.6072978063720144,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",8,8,32,last
dvlog-baseline-ablation-modalities-final:av-lm-eyes-spw-9-pt-0.50-run-2,2,0.7818181818181817,0.8349514563106796,0.7350427350427351,0.8242266877398962,0.746031746031746,0.7428607960253528,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",8,8,32,mean
dvlog-baseline-ablation-modalities-final:av-lm-eyes-spw-9-pt-0.50-run-2,2,0.7663551401869159,0.7961165048543689,0.7387387387387387,0.8242266877398962,0.7354497354497355,0.7339421547308486,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",8,8,32,mode
dvlog-baseline-ablation-modalities-final:av-lm-eyes-spw-9-pt-0.50-run-2,2,0.7818181818181817,0.8349514563106796,0.7350427350427351,0.815082411379544,0.746031746031746,0.7428607960253528,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",8,8,32,threshold
dvlog-baseline-ablation-modalities-final:av-lm-eyes-spw-9-pt-0.50-run-2,2,0.7706422018348624,0.8155339805825242,0.7304347826086957,0.815082411379544,0.7354497354497355,0.7328103004708508,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",8,8,32,mode_threshold
dvlog-baseline-ablation-modalities-final:av-lm-eyes-spw-9-pt-0.50-run-2,2,0.684931506849315,0.7281553398058253,0.646551724137931,0.66459697448634,0.6349206349206349,0.6308316957063405,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",8,8,32,last_presence
dvlog-baseline-ablation-modalities-final:av-lm-eyes-spw-9-pt-0.50-run-2,2,0.776255707762557,0.8252427184466019,0.7327586206896551,0.8251298261458568,0.7407407407407407,0.7378370012987054,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",8,8,32,mean_presence
dvlog-baseline-ablation-modalities-final:av-lm-eyes-spw-9-pt-0.50-run-2,2,0.7699530516431926,0.7961165048543689,0.7454545454545455,0.8251298261458568,0.7407407407407407,0.7395014305812428,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",8,8,32,mode_presence
dvlog-baseline-ablation-modalities-final:av-lm-eyes-spw-9-pt-0.50-run-2,2,0.7692307692307693,0.8252427184466019,0.7203389830508474,0.8201625649130728,0.7301587301587301,0.7264257327951595,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",8,8,32,threshold_presence
dvlog-baseline-ablation-modalities-final:av-lm-eyes-spw-9-pt-0.50-run-2,2,0.7741935483870966,0.8155339805825242,0.7368421052631579,0.8201625649130728,0.7407407407407407,0.738455145187263,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks', 'gaze_features', 'blinking_features']",8,8,32,mode_threshold_presence
