name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
dvlog-baseline-ablation-modalities-final:av-lm-spw-9-pt-0.50-run-4,4,0.6826923076923077,0.6893203883495146,0.6761904761904762,0.6932716188755927,0.6507936507936508,0.650418372477196,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks']",8,8,32,last
dvlog-baseline-ablation-modalities-final:av-lm-spw-9-pt-0.50-run-4,4,0.8036529680365296,0.8543689320388349,0.7586206896551724,0.8237751185369158,0.7724867724867724,0.769938592976415,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks']",8,8,32,mean
dvlog-baseline-ablation-modalities-final:av-lm-spw-9-pt-0.50-run-4,4,0.7999999999999999,0.8543689320388349,0.7521367521367521,0.8237751185369158,0.7671957671957672,0.7642890630232402,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks']",8,8,32,mode
dvlog-baseline-ablation-modalities-final:av-lm-spw-9-pt-0.50-run-4,4,0.8073394495412843,0.8543689320388349,0.7652173913043478,0.825242718446602,0.7777777777777778,0.7755606523955147,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks']",8,8,32,threshold
dvlog-baseline-ablation-modalities-final:av-lm-spw-9-pt-0.50-run-4,4,0.8036529680365296,0.8543689320388349,0.7586206896551724,0.825242718446602,0.7724867724867724,0.769938592976415,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks']",8,8,32,mode_threshold
dvlog-baseline-ablation-modalities-final:av-lm-spw-9-pt-0.50-run-4,4,0.7058823529411765,0.6990291262135923,0.7128712871287128,0.7417024158952359,0.6825396825396826,0.6828079890960216,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks']",8,8,32,last_presence
dvlog-baseline-ablation-modalities-final:av-lm-spw-9-pt-0.50-run-4,4,0.7999999999999999,0.8543689320388349,0.7521367521367521,0.8145179498758185,0.7671957671957672,0.7642890630232402,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks']",8,8,32,mean_presence
dvlog-baseline-ablation-modalities-final:av-lm-spw-9-pt-0.50-run-4,4,0.7981651376146789,0.8446601941747572,0.7565217391304347,0.8145179498758185,0.7671957671957672,0.7648730644143488,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks']",8,8,32,mode_presence
dvlog-baseline-ablation-modalities-final:av-lm-spw-9-pt-0.50-run-4,4,0.7927927927927928,0.8543689320388349,0.7394957983193278,0.8137277037706029,0.7566137566137566,0.7529030862364194,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks']",8,8,32,threshold_presence
dvlog-baseline-ablation-modalities-final:av-lm-spw-9-pt-0.50-run-4,4,0.7999999999999999,0.8543689320388349,0.7521367521367521,0.8137277037706029,0.7671957671957672,0.7642890630232402,d-vlog,test,baseline,9,0.5,"['audio_embeddings', 'face_embeddings', 'face_landmarks', 'body_landmarks', 'hand_landmarks']",8,8,32,mode_threshold_presence
