name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
dvlog-baseline-model-size-ablation:pt-0.25-spw-10-nl-8-nh8-hd32-run-1,1,0.6796116504854369,0.7142857142857143,0.6481481481481481,0.6739229024943311,0.648936170212766,0.6471317301967265,d-vlog,validation,baseline,10,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,last
dvlog-baseline-model-size-ablation:pt-0.25-spw-10-nl-8-nh8-hd32-run-1,1,0.7446808510638298,0.7142857142857143,0.7777777777777778,0.7850340136054422,0.7446808510638298,0.7446808510638298,d-vlog,validation,baseline,10,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,mean
dvlog-baseline-model-size-ablation:pt-0.25-spw-10-nl-8-nh8-hd32-run-1,1,0.7608695652173914,0.7142857142857143,0.813953488372093,0.7850340136054422,0.7659574468085106,0.7656394542090658,d-vlog,validation,baseline,10,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,mode
dvlog-baseline-model-size-ablation:pt-0.25-spw-10-nl-8-nh8-hd32-run-1,1,0.7368421052631581,0.7142857142857143,0.7608695652173914,0.7904761904761906,0.7340425531914894,0.7341328613228336,d-vlog,validation,baseline,10,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,threshold
dvlog-baseline-model-size-ablation:pt-0.25-spw-10-nl-8-nh8-hd32-run-1,1,0.7446808510638298,0.7142857142857143,0.7777777777777778,0.7904761904761906,0.7446808510638298,0.7446808510638298,d-vlog,validation,baseline,10,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,mode_threshold
dvlog-baseline-model-size-ablation:pt-0.25-spw-10-nl-8-nh8-hd32-run-1,1,0.6534653465346534,0.673469387755102,0.6346153846153846,0.653968253968254,0.6276595744680851,0.6267697202588931,d-vlog,validation,baseline,10,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,last_presence
dvlog-baseline-model-size-ablation:pt-0.25-spw-10-nl-8-nh8-hd32-run-1,1,0.7446808510638298,0.7142857142857143,0.7777777777777778,0.7827664399092971,0.7446808510638298,0.7446808510638298,d-vlog,validation,baseline,10,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,mean_presence
dvlog-baseline-model-size-ablation:pt-0.25-spw-10-nl-8-nh8-hd32-run-1,1,0.7608695652173914,0.7142857142857143,0.813953488372093,0.7827664399092971,0.7659574468085106,0.7656394542090658,d-vlog,validation,baseline,10,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,mode_presence
dvlog-baseline-model-size-ablation:pt-0.25-spw-10-nl-8-nh8-hd32-run-1,1,0.7368421052631581,0.7142857142857143,0.7608695652173914,0.7886621315192743,0.7340425531914894,0.7341328613228336,d-vlog,validation,baseline,10,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,threshold_presence
dvlog-baseline-model-size-ablation:pt-0.25-spw-10-nl-8-nh8-hd32-run-1,1,0.7446808510638298,0.7142857142857143,0.7777777777777778,0.7886621315192743,0.7446808510638298,0.7446808510638298,d-vlog,validation,baseline,10,0.25,"['audio_embeddings', 'face_embeddings']",8,8,32,mode_threshold_presence
