name,run_id,f1,recall,precision,auc,accuracy,f1_weighted,dataset,dataset_kind,model,seconds_per_window,presence_threshold,modalities,model_args.num_layers,model_args.self_attn_num_heads,model_args.self_attn_dim_head,prediction_kind
dvlog-baseline-model-size-ablation:pt-0.50-spw-10-nl-8-nh8-hd32-run-1,1,0.5133689839572192,0.46601941747572817,0.5714285714285714,0.5715737186723866,0.5185185185185185,0.5180062611537819,d-vlog,test,baseline,10,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,last
dvlog-baseline-model-size-ablation:pt-0.50-spw-10-nl-8-nh8-hd32-run-1,1,0.7093596059113302,0.6990291262135923,0.72,0.769586814179273,0.6878306878306878,0.6881997549977846,d-vlog,test,baseline,10,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,mean
dvlog-baseline-model-size-ablation:pt-0.50-spw-10-nl-8-nh8-hd32-run-1,1,0.729064039408867,0.7184466019417476,0.74,0.769586814179273,0.708994708994709,0.7093387546589517,d-vlog,test,baseline,10,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,mode
dvlog-baseline-model-size-ablation:pt-0.50-spw-10-nl-8-nh8-hd32-run-1,1,0.7121951219512195,0.7087378640776699,0.7156862745098039,0.7712801986904494,0.6878306878306878,0.6879715227099973,d-vlog,test,baseline,10,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,threshold
dvlog-baseline-model-size-ablation:pt-0.50-spw-10-nl-8-nh8-hd32-run-1,1,0.712871287128713,0.6990291262135923,0.7272727272727273,0.7712801986904494,0.6931216931216931,0.6935705475309436,d-vlog,test,baseline,10,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,mode_threshold
dvlog-baseline-model-size-ablation:pt-0.50-spw-10-nl-8-nh8-hd32-run-1,1,0.5384615384615384,0.47572815533980584,0.620253164556962,0.6030706705802664,0.5555555555555556,0.5534624106052677,d-vlog,test,baseline,10,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,last_presence
dvlog-baseline-model-size-ablation:pt-0.50-spw-10-nl-8-nh8-hd32-run-1,1,0.7093596059113302,0.6990291262135923,0.72,0.7690223526755475,0.6878306878306878,0.6881997549977846,d-vlog,test,baseline,10,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,mean_presence
dvlog-baseline-model-size-ablation:pt-0.50-spw-10-nl-8-nh8-hd32-run-1,1,0.729064039408867,0.7184466019417476,0.74,0.7690223526755475,0.708994708994709,0.7093387546589517,d-vlog,test,baseline,10,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,mode_presence
dvlog-baseline-model-size-ablation:pt-0.50-spw-10-nl-8-nh8-hd32-run-1,1,0.7156862745098039,0.7087378640776699,0.7227722772277227,0.7691352449762925,0.6931216931216931,0.6933810561261542,d-vlog,test,baseline,10,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,threshold_presence
dvlog-baseline-model-size-ablation:pt-0.50-spw-10-nl-8-nh8-hd32-run-1,1,0.712871287128713,0.6990291262135923,0.7272727272727273,0.7691352449762925,0.6931216931216931,0.6935705475309436,d-vlog,test,baseline,10,0.5,"['audio_embeddings', 'face_embeddings']",8,8,32,mode_threshold_presence
